Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2012,54,ECE,342,7,24,12,1,1,3,4,0,0,0,1,0,0,1,Electronic Circuits,"Schutt-Aine, Jose E",3.6358490566037736
Fall,2021,24,CWL,241,0,8,5,2,3,1,1,0,3,0,0,0,1,0,Early Masterpieces West Cultur,"McDowell, Sasha C",3.1675000000000004
Spring,2014,28,FSHN,595,10,10,5,3,0,0,0,0,0,0,0,0,0,0,Nutrition for Food Scientists,"Andrade, Juan",3.8692857142857138
Fall,2017,23,MATH,580,0,14,1,0,3,3,1,1,0,0,0,0,0,0,Combinatorial Mathematics,"Balog, Jozsef",3.5221739130434786
Spring,2016,88,CEE,424,0,27,22,18,7,6,4,3,0,0,0,0,0,1,Sustainable Const Methods,"Young, Brent D",3.46
Spring,2020,45,MBA,503,7,17,13,6,1,1,0,0,0,0,0,0,0,0,Strategy,"Somaya, Deepak",3.763555555555555
Spring,2013,42,ACCY,515,0,12,13,12,2,3,0,0,0,0,0,0,0,0,Auditing & Assurance Standards,"Hobson, Jessen L",3.5638095238095238
Fall,2013,23,ECE,206,4,13,4,2,0,0,0,0,0,0,0,0,0,0,Elec & Electronic Circuits Lab,"Haney, Michael J",3.8843478260869566
Spring,2016,29,ACCY,303,4,3,5,4,7,2,2,0,0,0,0,1,1,0,Atg Institutions and Reg,"Zhu, Wei",3.149655172413793
Spring,2020,109,MCB,402,25,56,9,9,8,1,1,0,0,0,0,0,0,0,Sys & Integrative Physiology,"Nelson, Erik",3.81651376146789
Spring,2013,22,GEOL,107,0,8,3,3,3,1,1,1,1,0,0,0,1,0,Physical Geology,"Long, Ann D",3.2122727272727274
Spring,2017,21,BADM,395,0,11,6,0,3,0,1,0,0,0,0,0,0,0,Making Things,"Rindfleisch, Aric P",3.683333333333333
Fall,2018,40,ECON,103,3,8,1,9,5,5,2,1,2,1,1,0,2,0,Macroeconomic Principles,"McDermott, Eric M",2.9579999999999997
Spring,2014,34,LER,199,0,3,8,11,5,4,0,1,1,0,1,0,0,0,Work and Labor in Sports Indus,"Gilbert, Daniel",3.1864705882352946
Fall,2011,25,KIN,100,16,2,1,2,0,0,1,0,0,0,0,0,3,0,Cond & Wt Control,"Mattila, Tina A",3.3864
Fall,2020,22,MATH,423,3,6,0,1,5,0,1,4,0,0,0,0,2,0,Differential Geometry,"Hirani, Anil N",2.939090909090909
Spring,2021,221,ECON,529,14,100,44,26,21,9,3,1,2,0,0,0,1,0,Macroeconomics for Business,"Esfahani, Hadi S",3.635384615384616
Fall,2015,49,THEA,101,21,14,3,3,3,1,1,0,0,0,2,0,0,1,Introduction to Theatre Arts,"Morrissette, Jason W",3.6875
Fall,2010,35,FIN,443,0,11,6,11,2,2,1,2,0,0,0,0,0,0,Legal Issues in Real Estate,"McDonald, Ward F",3.4377142857142857
Fall,2013,57,ECE,340,6,8,7,6,7,3,3,5,5,3,1,1,2,0,Semiconductor Electronics,"Wasserman, Daniel M",2.8364912280701757
